Name,Account number,Date,OldValue,NewValue
TransportCo35,AB0000034,01/01/2025,Active,Blocked
TransportCo35,AB0000034,22/01/2025,Blocked,Active
TransportCo35,AB0000034,12/02/2025,Active,Blocked
TransportCo35,AB0000034,19/02/2025,Blocked,Active
TransportCo35,AB0000034,05/03/2025,Active,Blocked
TransportCo35,AB0000034,12/03/2025,Blocked,Active
TransportCo35,AB0000034,19/03/2025,Active,Blocked
TransportCo35,AB0000034,09/04/2025,Blocked,Active
TransportCo36,AB0000035,01/01/2025,Active,Blocked
TransportCo36,AB0000035,08/01/2025,Blocked,Active
TransportCo36,AB0000035,29/01/2025,Active,Blocked
TransportCo36,AB0000035,12/02/2025,Blocked,Active
TransportCo37,AB0000036,01/01/2025,Active,Blocked
TransportCo37,AB0000036,15/01/2025,Blocked,Active
TransportCo37,AB0000036,29/01/2025,Active,Blocked
TransportCo37,AB0000036,19/02/2025,Blocked,Active
TransportCo37,AB0000036,26/02/2025,Active,Blocked
TransportCo37,AB0000036,19/03/2025,Blocked,Active
TransportCo37,AB0000036,02/04/2025,Active,Blocked
TransportCo37,AB0000036,09/04/2025,Blocked,Active
TransportCo37,AB0000036,30/04/2025,Active,Blocked
TransportCo37,AB0000036,21/05/2025,Blocked,Active
TransportCo38,AB0000037,01/01/2025,Active,Blocked
TransportCo38,AB0000037,22/01/2025,Blocked,Active
TransportCo38,AB0000037,29/01/2025,Active,Blocked
TransportCo38,AB0000037,12/02/2025,Blocked,Active
TransportCo38,AB0000037,05/03/2025,Active,Blocked
TransportCo38,AB0000037,19/03/2025,Blocked,Active
TransportCo38,AB0000037,26/03/2025,Active,Blocked
TransportCo38,AB0000037,02/04/2025,Blocked,Active
TransportCo38,AB0000037,16/04/2025,Active,Blocked
TransportCo38,AB0000037,07/05/2025,Blocked,Active
TransportCo38,AB0000037,14/05/2025,Active,Blocked
TransportCo39,AB0000038,01/01/2025,Blocked,Active
TransportCo39,AB0000038,15/01/2025,Active,Blocked
TransportCo39,AB0000038,29/01/2025,Blocked,Active
TransportCo39,AB0000038,05/02/2025,Active,Blocked
TransportCo39,AB0000038,19/02/2025,Blocked,Active
TransportCo39,AB0000038,12/03/2025,Active,Blocked
TransportCo39,AB0000038,19/03/2025,Blocked,Active
TransportCo39,AB0000038,26/03/2025,Active,Blocked
TransportCo39,AB0000038,09/04/2025,Blocked,Active
TransportCo39,AB0000038,30/04/2025,Active,Blocked
TransportCo39,AB0000038,21/05/2025,Blocked,Active
TransportCo40,AB0000039,01/01/2025,Active,Blocked
TransportCo40,AB0000039,15/01/2025,Blocked,Active
TransportCo40,AB0000039,22/01/2025,Active,Blocked
TransportCo40,AB0000039,12/02/2025,Blocked,Active
TransportCo40,AB0000039,26/02/2025,Active,Blocked
TransportCo40,AB0000039,05/03/2025,Blocked,Active
TransportCo40,AB0000039,19/03/2025,Active,Blocked
TransportCo40,AB0000039,26/03/2025,Blocked,Active
TransportCo40,AB0000039,09/04/2025,Active,Blocked
TransportCo40,AB0000039,30/04/2025,Blocked,Active
TransportCo41,AB0000040,01/01/2025,Active,Blocked
TransportCo41,AB0000040,15/01/2025,Blocked,Active
TransportCo41,AB0000040,05/02/2025,Active,Blocked
TransportCo41,AB0000040,12/02/2025,Blocked,Active
TransportCo41,AB0000040,19/02/2025,Active,Blocked
TransportCo41,AB0000040,26/02/2025,Blocked,Active
TransportCo41,AB0000040,12/03/2025,Active,Blocked
TransportCo41,AB0000040,26/03/2025,Blocked,Active
TransportCo41,AB0000040,16/04/2025,Active,Blocked
TransportCo41,AB0000040,07/05/2025,Blocked,Active
TransportCo42,AB0000041,01/01/2025,Active,Blocked
TransportCo42,AB0000041,22/01/2025,Blocked,Active
TransportCo42,AB0000041,29/01/2025,Active,Blocked
TransportCo42,AB0000041,19/02/2025,Blocked,Active
TransportCo42,AB0000041,26/02/2025,Active,Blocked
TransportCo42,AB0000041,12/03/2025,Blocked,Active
TransportCo42,AB0000041,02/04/2025,Active,Blocked
TransportCo42,AB0000041,16/04/2025,Blocked,Active
TransportCo42,AB0000041,30/04/2025,Active,Blocked
TransportCo42,AB0000041,14/05/2025,Blocked,Active
TransportCo42,AB0000041,04/06/2025,Active,Blocked
TransportCo43,AB0000042,01/01/2025,Blocked,Active
TransportCo43,AB0000042,22/01/2025,Active,Blocked
TransportCo43,AB0000042,12/02/2025,Blocked,Active
TransportCo43,AB0000042,26/02/2025,Active,Blocked
TransportCo43,AB0000042,19/03/2025,Blocked,Active
TransportCo43,AB0000042,26/03/2025,Active,Blocked
TransportCo43,AB0000042,09/04/2025,Blocked,Active
TransportCo43,AB0000042,30/04/2025,Active,Blocked
TransportCo43,AB0000042,21/05/2025,Blocked,Active
TransportCo43,AB0000042,04/06/2025,Active,Blocked
TransportCo44,AB0000043,01/01/2025,Blocked,Active
TransportCo44,AB0000043,15/01/2025,Active,Blocked
TransportCo44,AB0000043,22/01/2025,Blocked,Active
TransportCo44,AB0000043,29/01/2025,Active,Blocked
TransportCo44,AB0000043,12/02/2025,Blocked,Active
TransportCo44,AB0000043,05/03/2025,Active,Blocked
TransportCo44,AB0000043,26/03/2025,Blocked,Active
TransportCo44,AB0000043,16/04/2025,Active,Blocked
TransportCo44,AB0000043,30/04/2025,Blocked,Active
TransportCo44,AB0000043,07/05/2025,Active,Blocked
TransportCo44,AB0000043,28/05/2025,Blocked,Active
TransportCo44,AB0000043,11/06/2025,Active,Blocked
TransportCo45,AB0000044,01/01/2025,Blocked,Active
TransportCo46,AB0000045,01/01/2025,Active,Blocked
TransportCo46,AB0000045,22/01/2025,Blocked,Active
TransportCo46,AB0000045,29/01/2025,Active,Blocked
TransportCo46,AB0000045,12/02/2025,Blocked,Active
TransportCo46,AB0000045,19/02/2025,Active,Blocked
TransportCo46,AB0000045,05/03/2025,Blocked,Active
TransportCo47,AB0000046,01/01/2025,Active,Blocked
TransportCo47,AB0000046,22/01/2025,Blocked,Active
TransportCo47,AB0000046,12/02/2025,Active,Blocked
TransportCo47,AB0000046,19/02/2025,Blocked,Active
TransportCo47,AB0000046,12/03/2025,Active,Blocked
TransportCo47,AB0000046,02/04/2025,Blocked,Active
TransportCo48,AB0000047,01/01/2025,Active,Blocked
TransportCo48,AB0000047,15/01/2025,Blocked,Active
TransportCo48,AB0000047,05/02/2025,Active,Blocked
TransportCo48,AB0000047,12/02/2025,Blocked,Active
TransportCo48,AB0000047,19/02/2025,Active,Blocked
TransportCo48,AB0000047,26/02/2025,Blocked,Active
TransportCo48,AB0000047,05/03/2025,Active,Blocked
TransportCo48,AB0000047,19/03/2025,Blocked,Active
TransportCo48,AB0000047,09/04/2025,Active,Blocked
TransportCo49,AB0000048,01/01/2025,Blocked,Active
TransportCo49,AB0000048,15/01/2025,Active,Blocked
TransportCo49,AB0000048,29/01/2025,Blocked,Active
TransportCo49,AB0000048,12/02/2025,Active,Blocked
TransportCo49,AB0000048,05/03/2025,Blocked,Active
TransportCo49,AB0000048,12/03/2025,Active,Blocked
TransportCo49,AB0000048,02/04/2025,Blocked,Active
TransportCo49,AB0000048,09/04/2025,Active,Blocked
TransportCo49,AB0000048,30/04/2025,Blocked,Active
TransportCo49,AB0000048,21/05/2025,Active,Blocked
TransportCo49,AB0000048,04/06/2025,Blocked,Active
TransportCo49,AB0000048,11/06/2025,Active,Blocked
TransportCo49,AB0000048,18/06/2025,Blocked,Active
TransportCo49,AB0000048,09/07/2025,Active,Blocked
TransportCo49,AB0000048,23/07/2025,Blocked,Active
TransportCo50,AB0000049,01/01/2025,Active,Blocked
TransportCo50,AB0000049,22/01/2025,Blocked,Active
TransportCo50,AB0000049,29/01/2025,Active,Blocked
TransportCo50,AB0000049,05/02/2025,Blocked,Active
TransportCo50,AB0000049,19/02/2025,Active,Blocked
TransportCo50,AB0000049,26/02/2025,Blocked,Active
TransportCo50,AB0000049,12/03/2025,Active,Blocked
TransportCo50,AB0000049,26/03/2025,Blocked,Active
TransportCo51,AB0000050,01/01/2025,Active,Blocked
TransportCo51,AB0000050,15/01/2025,Blocked,Active
TransportCo51,AB0000050,29/01/2025,Active,Blocked
TransportCo51,AB0000050,05/02/2025,Blocked,Active
TransportCo51,AB0000050,12/02/2025,Active,Blocked
TransportCo51,AB0000050,19/02/2025,Blocked,Active
TransportCo51,AB0000050,12/03/2025,Active,Blocked
TransportCo51,AB0000050,26/03/2025,Blocked,Active
TransportCo51,AB0000050,09/04/2025,Active,Blocked
TransportCo51,AB0000050,30/04/2025,Blocked,Active
TransportCo51,AB0000050,14/05/2025,Active,Blocked
TransportCo52,AB0000051,01/01/2025,Blocked,Active
TransportCo52,AB0000051,22/01/2025,Active,Blocked
TransportCo52,AB0000051,29/01/2025,Blocked,Active
TransportCo52,AB0000051,05/02/2025,Active,Blocked
TransportCo53,AB0000052,01/01/2025,Blocked,Active
TransportCo53,AB0000052,22/01/2025,Active,Blocked
TransportCo53,AB0000052,29/01/2025,Blocked,Active
TransportCo53,AB0000052,19/02/2025,Active,Blocked
TransportCo53,AB0000052,05/03/2025,Blocked,Active
TransportCo53,AB0000052,12/03/2025,Active,Blocked
TransportCo53,AB0000052,02/04/2025,Blocked,Active
TransportCo53,AB0000052,23/04/2025,Active,Blocked
TransportCo53,AB0000052,30/04/2025,Blocked,Active
TransportCo53,AB0000052,07/05/2025,Active,Blocked
TransportCo53,AB0000052,21/05/2025,Blocked,Active
TransportCo53,AB0000052,04/06/2025,Active,Blocked
TransportCo53,AB0000052,11/06/2025,Blocked,Active
TransportCo54,AB0000053,01/01/2025,Active,Blocked
TransportCo54,AB0000053,22/01/2025,Blocked,Active
TransportCo54,AB0000053,12/02/2025,Active,Blocked
TransportCo54,AB0000053,26/02/2025,Blocked,Active
TransportCo54,AB0000053,05/03/2025,Active,Blocked
TransportCo54,AB0000053,12/03/2025,Blocked,Active
TransportCo54,AB0000053,26/03/2025,Active,Blocked
TransportCo54,AB0000053,02/04/2025,Blocked,Active
TransportCo55,AB0000054,01/01/2025,Active,Blocked
TransportCo55,AB0000054,15/01/2025,Blocked,Active
TransportCo55,AB0000054,29/01/2025,Active,Blocked
TransportCo55,AB0000054,05/02/2025,Blocked,Active
TransportCo55,AB0000054,26/02/2025,Active,Blocked
TransportCo55,AB0000054,12/03/2025,Blocked,Active
TransportCo55,AB0000054,02/04/2025,Active,Blocked
TransportCo55,AB0000054,23/04/2025,Blocked,Active
TransportCo55,AB0000054,07/05/2025,Active,Blocked
TransportCo55,AB0000054,28/05/2025,Blocked,Active
TransportCo55,AB0000054,18/06/2025,Active,Blocked
TransportCo56,AB0000055,01/01/2025,Blocked,Active
TransportCo56,AB0000055,08/01/2025,Active,Blocked
TransportCo56,AB0000055,15/01/2025,Blocked,Active
TransportCo56,AB0000055,22/01/2025,Active,Blocked
TransportCo56,AB0000055,12/02/2025,Blocked,Active
TransportCo56,AB0000055,26/02/2025,Active,Blocked
TransportCo56,AB0000055,19/03/2025,Blocked,Active
TransportCo56,AB0000055,09/04/2025,Active,Blocked
TransportCo56,AB0000055,30/04/2025,Blocked,Active
TransportCo56,AB0000055,14/05/2025,Active,Blocked
TransportCo56,AB0000055,28/05/2025,Blocked,Active
TransportCo56,AB0000055,18/06/2025,Active,Blocked
TransportCo56,AB0000055,02/07/2025,Blocked,Active
TransportCo56,AB0000055,16/07/2025,Active,Blocked
TransportCo57,AB0000056,01/01/2025,Blocked,Active
TransportCo57,AB0000056,08/01/2025,Active,Blocked
TransportCo57,AB0000056,29/01/2025,Blocked,Active
TransportCo57,AB0000056,12/02/2025,Active,Blocked
TransportCo57,AB0000056,19/02/2025,Blocked,Active
TransportCo57,AB0000056,12/03/2025,Active,Blocked
TransportCo57,AB0000056,19/03/2025,Blocked,Active
TransportCo57,AB0000056,02/04/2025,Active,Blocked
TransportCo57,AB0000056,09/04/2025,Blocked,Active
TransportCo57,AB0000056,23/04/2025,Active,Blocked
TransportCo57,AB0000056,30/04/2025,Blocked,Active
TransportCo57,AB0000056,21/05/2025,Active,Blocked
TransportCo57,AB0000056,04/06/2025,Blocked,Active
TransportCo57,AB0000056,25/06/2025,Active,Blocked
TransportCo57,AB0000056,16/07/2025,Blocked,Active
TransportCo58,AB0000057,01/01/2025,Active,Blocked
TransportCo58,AB0000057,22/01/2025,Blocked,Active
TransportCo58,AB0000057,29/01/2025,Active,Blocked
TransportCo58,AB0000057,12/02/2025,Blocked,Active
TransportCo58,AB0000057,19/02/2025,Active,Blocked
TransportCo58,AB0000057,05/03/2025,Blocked,Active
TransportCo58,AB0000057,19/03/2025,Active,Blocked
TransportCo58,AB0000057,02/04/2025,Blocked,Active
TransportCo58,AB0000057,09/04/2025,Active,Blocked
TransportCo58,AB0000057,16/04/2025,Blocked,Active
TransportCo58,AB0000057,23/04/2025,Active,Blocked
